+------+------------------------+------------+---------+
| Tile |        Pawprint        | Matched N. | Status  |
| b263 | v20130713_00441_st_cat | 267928     | matched |
| b263 | v20120417_00358_st_cat | 282558     | matched |
| b263 | v20130702_00352_st_cat | 284291     | matched |
| b263 | v20131017_00185_st_cat | 168700     | matched |
| b263 | v20120814_00143_st_cat | 214729     | matched |
| b263 | v20100814_00742_st_cat | 249087     | matched |
| b263 | v20120726_00216_st_cat | 252754     | matched |
| b263 | v20130724_00803_st_cat | 216182     | matched |
| b263 | v20140617_01170_st_cat | 145405     | matched |
| b263 | v20130703_00306_st_cat | 265487     | matched |
| b263 | v20130705_01136_st_cat | 151344     | matched |
| b263 | v20120801_00588_st_cat | 274877     | matched |
| b263 | v20130703_00302_st_cat | 244090     | matched |
| b263 | v20130703_00298_st_cat | 249913     | matched |
| b263 | v20120312_00557_st_cat | 244870     | matched |
| b263 | v20130807_00345_st_cat | 211344     | matched |
| b263 | v20120814_00141_st_cat | 212990     | matched |
| b263 | v20130703_00828_st_cat | 271521     | matched |
| b263 | v20120719_00453_st_cat | 213118     | matched |
| b263 | v20130705_00868_st_cat | 149184     | matched |
| b263 | v20120804_00665_st_cat | 181095     | matched |
| b263 | v20130324_01401_st_cat | 262389     | matched |
| b263 | v20130713_00433_st_cat | 232210     | matched |
| b263 | v20150723_00859_st_cat | 277877     | matched |
| b263 | v20130326_00608_st_cat | 276578     | matched |
| b263 | v20120726_00208_st_cat | 238495     | matched |
| b263 | v20130706_00729_st_cat | 260903     | matched |
| b263 | v20120817_00548_st_cat | 153601     | matched |
| b263 | v20120718_00100_st_cat | 236783     | matched |
| b263 | v20130326_00614_st_cat | 258016     | matched |
| b263 | v20130706_00539_st_cat | 276968     | matched |
| b263 | v20120312_00565_st_cat | 234668     | matched |
| b263 | v20140703_00575_st_cat | 228455     | matched |
